entry,at,order
"""aiden# @ _c6_FOIS6W"" checks",2024-01-24T09:42:05.017Z,170608932501700
"""michael @ UFkn4-rw65"" checks",2024-01-24T09:41:44.158Z,170608930415800
"Flop:  [9♦, 6♠, A♦]",2024-01-24T09:41:24.134Z,170608928413400
"""michael @ UFkn4-rw65"" checks",2024-01-24T09:41:23.328Z,170608928332800
"""aiden# @ _c6_FOIS6W"" calls 0.10",2024-01-24T09:41:02.493Z,170608926249300
"""michael @ UFkn4-rw65"" posts a big blind of 0.10",2024-01-24T09:40:37.167Z,170608923716705
"""aiden# @ _c6_FOIS6W"" posts a small blind of 0.05",2024-01-24T09:40:37.167Z,170608923716704
"Player stacks: #1 ""michael @ UFkn4-rw65"" (43.32) | #4 ""aiden# @ _c6_FOIS6W"" (84.53)",2024-01-24T09:40:37.167Z,170608923716701
"-- starting hand #315 (id: eeg5yziub7hx)  (No Limit Texas Hold'em) (dealer: ""aiden# @ _c6_FOIS6W"") --",2024-01-24T09:40:37.167Z,170608923716700
"-- ending hand #314 --",2024-01-24T09:40:34.250Z,170608923425002
"""aiden# @ _c6_FOIS6W"" collected 0.10 from pot",2024-01-24T09:40:34.250Z,170608923425001
"Uncalled bet of 0.05 returned to ""aiden# @ _c6_FOIS6W""",2024-01-24T09:40:34.250Z,170608923425000
"""michael @ UFkn4-rw65"" folds",2024-01-24T09:40:33.445Z,170608923344500
"""aiden# @ _c6_FOIS6W"" posts a big blind of 0.10",2024-01-24T09:40:13.434Z,170608921343406
"""michael @ UFkn4-rw65"" posts a small blind of 0.05",2024-01-24T09:40:13.434Z,170608921343405
"Player stacks: #1 ""michael @ UFkn4-rw65"" (43.37) | #4 ""aiden# @ _c6_FOIS6W"" (84.48)",2024-01-24T09:40:13.434Z,170608921343402
"-- starting hand #314 (id: owwhfij5wzxw)  (No Limit Texas Hold'em) (dealer: ""michael @ UFkn4-rw65"") --",2024-01-24T09:40:13.434Z,170608921343401
"The player ""jd @ 63T0FS8Tfi"" quits the game with a stack of 191.54.",2024-01-24T09:40:13.434Z,170608921343400
"-- ending hand #313 --",2024-01-24T09:40:10.491Z,170608921049102
"""aiden# @ _c6_FOIS6W"" collected 0.10 from pot",2024-01-24T09:40:10.491Z,170608921049101
"Uncalled bet of 0.05 returned to ""aiden# @ _c6_FOIS6W""",2024-01-24T09:40:10.491Z,170608921049100
"""michael @ UFkn4-rw65"" folds",2024-01-24T09:40:09.634Z,170608920963400
"""jd @ 63T0FS8Tfi"" folds",2024-01-24T09:39:38.763Z,170608917876300
"""aiden# @ _c6_FOIS6W"" posts a big blind of 0.10",2024-01-24T09:39:33.897Z,170608917389706
"""michael @ UFkn4-rw65"" posts a small blind of 0.05",2024-01-24T09:39:33.897Z,170608917389705
"Player stacks: #1 ""michael @ UFkn4-rw65"" (43.42) | #4 ""aiden# @ _c6_FOIS6W"" (84.43) | #9 ""jd @ 63T0FS8Tfi"" (191.54)",2024-01-24T09:39:33.897Z,170608917389701
"-- starting hand #313 (id: qzaovslyjhip)  (No Limit Texas Hold'em) (dealer: ""jd @ 63T0FS8Tfi"") --",2024-01-24T09:39:33.897Z,170608917389700
"""michael @ UFkn4-rw65"" shows a 2♣, J♦.",2024-01-24T09:39:28.100Z,170608916810000
"-- ending hand #312 --",2024-01-24T09:39:27.384Z,170608916738403
"""jd @ 63T0FS8Tfi"" shows a K♠, 10♠.",2024-01-24T09:39:27.384Z,170608916738402
"""aiden# @ _c6_FOIS6W"" collected 3.00 from pot with Straight, 8 High (combination: 8♦, 7♠, 6♠, 5♦, 4♣)",2024-01-24T09:39:27.384Z,170608916738401
"""aiden# @ _c6_FOIS6W"" shows a J♥, 7♠.",2024-01-24T09:39:27.384Z,170608916738400
"""aiden# @ _c6_FOIS6W"" checks",2024-01-24T09:39:26.555Z,170608916655500
"""michael @ UFkn4-rw65"" checks",2024-01-24T09:39:25.617Z,170608916561700
"""jd @ 63T0FS8Tfi"" checks",2024-01-24T09:39:24.690Z,170608916469000
"River: 6♠, Q♣, 5♦, 8♦ [4♣]",2024-01-24T09:39:24.486Z,170608916448600
"""aiden# @ _c6_FOIS6W"" checks",2024-01-24T09:39:23.647Z,170608916364700
"""michael @ UFkn4-rw65"" checks",2024-01-24T09:39:22.773Z,170608916277300
"""jd @ 63T0FS8Tfi"" checks",2024-01-24T09:39:21.805Z,170608916180500
"Turn: 6♠, Q♣, 5♦ [8♦]",2024-01-24T09:39:21.682Z,170608916168200
"""aiden# @ _c6_FOIS6W"" checks",2024-01-24T09:39:20.842Z,170608916084200
"""michael @ UFkn4-rw65"" checks",2024-01-24T09:39:19.922Z,170608915992200
"""jd @ 63T0FS8Tfi"" checks",2024-01-24T09:39:18.531Z,170608915853100
"Flop:  [6♠, Q♣, 5♦]",2024-01-24T09:39:18.080Z,170608915808000
"""michael @ UFkn4-rw65"" calls 1.00",2024-01-24T09:39:17.277Z,170608915727700
"""jd @ 63T0FS8Tfi"" calls 1.00",2024-01-24T09:39:16.381Z,170608915638100
"""aiden# @ _c6_FOIS6W"" raises to 1.00",2024-01-24T09:39:14.895Z,170608915489500
"""michael @ UFkn4-rw65"" posts a big blind of 0.10",2024-01-24T09:39:06.069Z,170608914606906
"""jd @ 63T0FS8Tfi"" posts a small blind of 0.05",2024-01-24T09:39:06.069Z,170608914606905
"Player stacks: #1 ""michael @ UFkn4-rw65"" (44.42) | #4 ""aiden# @ _c6_FOIS6W"" (82.43) | #9 ""jd @ 63T0FS8Tfi"" (192.54)",2024-01-24T09:39:06.069Z,170608914606901
"-- starting hand #312 (id: uihzvvyzhjkr)  (No Limit Texas Hold'em) (dealer: ""aiden# @ _c6_FOIS6W"") --",2024-01-24T09:39:06.069Z,170608914606900
"-- ending hand #311 --",2024-01-24T09:39:00.045Z,170608914004502
"""jd @ 63T0FS8Tfi"" collected 3.00 from pot with Two Pair, A's & 8's (combination: A♣, A♥, 8♥, 8♣, K♠)",2024-01-24T09:39:00.045Z,170608914004501
"""jd @ 63T0FS8Tfi"" shows a 8♥, A♣.",2024-01-24T09:39:00.045Z,170608914004500
"""aiden# @ _c6_FOIS6W"" calls 0.75",2024-01-24T09:38:59.215Z,170608913921500
"""jd @ 63T0FS8Tfi"" bets 0.75",2024-01-24T09:38:58.300Z,170608913830000
