entry,at,order
"""aiden @ _c6_FOIS6W"" folds",2024-01-22T06:44:27.994Z,170590586799400
"""Samip @ jOjtPg-pR7"" posts a big blind of 0.10",2024-01-22T06:38:50.694Z,170590553069408
"""jd @ 63T0FS8Tfi"" posts a small blind of 0.05",2024-01-22T06:38:50.694Z,170590553069407
"Player stacks: #2 ""aiden @ _c6_FOIS6W"" (4.34) | #3 ""Michael @ DsOAQ7GJz1"" (18.64) | #4 ""yj @ sPeQ1UX8bj"" (47.15) | #8 ""jd @ 63T0FS8Tfi"" (88.37) | #10 ""Samip @ jOjtPg-pR7"" (7.65)",2024-01-22T06:38:50.694Z,170590553069401
"-- starting hand #102 (id: wxg9yijsbhev)  (No Limit Texas Hold'em) (dealer: ""yj @ sPeQ1UX8bj"") --",2024-01-22T06:38:50.694Z,170590553069400
"-- ending hand #101 --",2024-01-22T06:38:47.690Z,170590552769001
"""Samip @ jOjtPg-pR7"" collected 7.65 from pot with Pair, 10's (combination: 10♣, 10♦, K♣, J♠, 8♣)",2024-01-22T06:38:47.690Z,170590552769000
"River: K♣, 10♦, 2♦, 8♣ [J♠]",2024-01-22T06:38:43.682Z,170590552368200
"Turn: K♣, 10♦, 2♦ [8♣]",2024-01-22T06:38:39.655Z,170590551965500
"Flop:  [K♣, 10♦, 2♦]",2024-01-22T06:38:35.651Z,170590551565100
"""Samip @ jOjtPg-pR7"" shows a 10♣, 5♣.",2024-01-22T06:38:31.637Z,170590551163701
"""aiden @ _c6_FOIS6W"" shows a 7♦, 7♣.",2024-01-22T06:38:31.637Z,170590551163700
"Some players choose to not run it twice.",2024-01-22T06:38:30.826Z,170590551082601
"""aiden @ _c6_FOIS6W"" chooses to not run it twice.",2024-01-22T06:38:30.826Z,170590551082600
"Remaining players decide whether to run it twice.",2024-01-22T06:38:29.794Z,170590550979401
"""jd @ 63T0FS8Tfi"" folds",2024-01-22T06:38:29.794Z,170590550979400
"""yj @ sPeQ1UX8bj"" folds",2024-01-22T06:38:28.870Z,170590550887000
"""Michael @ DsOAQ7GJz1"" folds",2024-01-22T06:38:27.956Z,170590550795600
"""aiden @ _c6_FOIS6W"" calls 3.75",2024-01-22T06:38:26.631Z,170590550663100
"""Samip @ jOjtPg-pR7"" raises to 3.75 and go all in",2024-01-22T06:38:25.261Z,170590550526100
"""jd @ 63T0FS8Tfi"" posts a big blind of 0.10",2024-01-22T06:38:15.623Z,170590549562308
"""yj @ sPeQ1UX8bj"" posts a small blind of 0.05",2024-01-22T06:38:15.623Z,170590549562307
"Player stacks: #2 ""aiden @ _c6_FOIS6W"" (8.09) | #3 ""Michael @ DsOAQ7GJz1"" (18.64) | #4 ""yj @ sPeQ1UX8bj"" (47.20) | #8 ""jd @ 63T0FS8Tfi"" (88.47) | #10 ""Samip @ jOjtPg-pR7"" (3.75)",2024-01-22T06:38:15.623Z,170590549562301
"-- starting hand #101 (id: aatndsw5omil)  (No Limit Texas Hold'em) (dealer: ""Michael @ DsOAQ7GJz1"") --",2024-01-22T06:38:15.623Z,170590549562300
"""yj @ sPeQ1UX8bj"" shows a J♦, J♣.",2024-01-22T06:38:13.466Z,170590549346600
"-- ending hand #100 --",2024-01-22T06:38:11.980Z,170590549198002
"""yj @ sPeQ1UX8bj"" collected 8.05 from pot",2024-01-22T06:38:11.980Z,170590549198001
"Uncalled bet of 3.00 returned to ""yj @ sPeQ1UX8bj""",2024-01-22T06:38:11.980Z,170590549198000
"""aiden @ _c6_FOIS6W"" folds",2024-01-22T06:38:11.166Z,170590549116600
"""yj @ sPeQ1UX8bj"" bets 3.00",2024-01-22T06:38:05.036Z,170590548503600
"Turn: 6♥, 10♠, 9♠ [10♦]",2024-01-22T06:37:48.688Z,170590546868800
"""aiden @ _c6_FOIS6W"" calls 1.60",2024-01-22T06:37:47.812Z,170590546781200
"""yj @ sPeQ1UX8bj"" bets 1.60",2024-01-22T06:37:34.317Z,170590545431700
"Flop:  [6♥, 10♠, 9♠]",2024-01-22T06:37:21.986Z,170590544198600
"""aiden @ _c6_FOIS6W"" calls 2.25",2024-01-22T06:37:21.128Z,170590544112800
"""jd @ 63T0FS8Tfi"" folds",2024-01-22T06:37:20.249Z,170590544024900
"""yj @ sPeQ1UX8bj"" raises to 2.25",2024-01-22T06:37:18.126Z,170590543812600
"""Michael @ DsOAQ7GJz1"" folds",2024-01-22T06:37:09.812Z,170590542981200
"""aiden @ _c6_FOIS6W"" raises to 0.90",2024-01-22T06:37:07.689Z,170590542768900
"""Samip @ jOjtPg-pR7"" folds",2024-01-22T06:37:01.300Z,170590542130000
"""jd @ 63T0FS8Tfi"" raises to 0.30",2024-01-22T06:36:47.982Z,170590540798200
"""yj @ sPeQ1UX8bj"" posts a big blind of 0.10",2024-01-22T06:36:42.581Z,170590540258108
"""Michael @ DsOAQ7GJz1"" posts a small blind of 0.05",2024-01-22T06:36:42.581Z,170590540258107
"Player stacks: #2 ""aiden @ _c6_FOIS6W"" (11.94) | #3 ""Michael @ DsOAQ7GJz1"" (18.69) | #4 ""yj @ sPeQ1UX8bj"" (43.00) | #8 ""jd @ 63T0FS8Tfi"" (88.77) | #10 ""Samip @ jOjtPg-pR7"" (3.75)",2024-01-22T06:36:42.581Z,170590540258101
"-- starting hand #100 (id: gsmlfjaziioc)  (No Limit Texas Hold'em) (dealer: ""aiden @ _c6_FOIS6W"") --",2024-01-22T06:36:42.581Z,170590540258100
"""jd @ 63T0FS8Tfi"" shows a 3♣, 4♥.",2024-01-22T06:36:40.636Z,170590540063600
"-- ending hand #99 --",2024-01-22T06:36:38.907Z,170590539890702
"""jd @ 63T0FS8Tfi"" collected 0.95 from pot",2024-01-22T06:36:38.907Z,170590539890701
"Uncalled bet of 0.30 returned to ""jd @ 63T0FS8Tfi""",2024-01-22T06:36:38.907Z,170590539890700
"""Michael @ DsOAQ7GJz1"" folds",2024-01-22T06:36:38.074Z,170590539807400
"""Samip @ jOjtPg-pR7"" folds",2024-01-22T06:36:37.141Z,170590539714100
