entry,at,order
"The player ""Yj @ UXaWQPJt1x"" stand up with the stack of 30.26.",2024-03-05T10:16:29.562Z,170963378956200
"-- ending hand #321 --",2024-03-05T10:16:23.553Z,170963378355302
"""onfonem @ KbH85AblgS"" collected 22.94 from pot with Full House, 8's over 9's (combination: 8♣, 8♠, 8♥, 9♣, 9♦)",2024-03-05T10:16:23.553Z,170963378355301
"""onfonem @ KbH85AblgS"" shows a 9♣, 8♣.",2024-03-05T10:16:23.553Z,170963378355300
"""Yj @ UXaWQPJt1x"" calls 8.87",2024-03-05T10:16:22.732Z,170963378273200
"""onfonem @ KbH85AblgS"" bets 8.87",2024-03-05T10:16:11.964Z,170963377196400
"""Yj @ UXaWQPJt1x"" checks",2024-03-05T10:16:06.855Z,170963376685500
"River: A♣, 7♣, 9♦, 8♠ [8♥]",2024-03-05T10:16:02.591Z,170963376259100
"""Yj @ UXaWQPJt1x"" calls 1.30",2024-03-05T10:16:01.785Z,170963376178500
"""onfonem @ KbH85AblgS"" bets 1.30",2024-03-05T10:15:55.910Z,170963375591000
"""Yj @ UXaWQPJt1x"" checks",2024-03-05T10:15:53.603Z,170963375360300
"Turn: A♣, 7♣, 9♦ [8♠]",2024-03-05T10:15:45.719Z,170963374571900
"""onfonem @ KbH85AblgS"" calls 1.00",2024-03-05T10:15:44.907Z,170963374490700
"""Yj @ UXaWQPJt1x"" raises to 1.00",2024-03-05T10:15:42.525Z,170963374252500
"""onfonem @ KbH85AblgS"" bets 0.30",2024-03-05T10:15:36.062Z,170963373606200
"""Yj @ UXaWQPJt1x"" checks",2024-03-05T10:15:33.268Z,170963373326800
"Flop:  [A♣, 7♣, 9♦]",2024-03-05T10:15:31.851Z,170963373185100
"""Yj @ UXaWQPJt1x"" calls 0.30",2024-03-05T10:15:31.042Z,170963373104200
"""onfonem @ KbH85AblgS"" raises to 0.30",2024-03-05T10:15:29.740Z,170963372974000
"""Yj @ UXaWQPJt1x"" posts a big blind of 0.10",2024-03-05T10:15:26.747Z,170963372674705
"""onfonem @ KbH85AblgS"" posts a small blind of 0.05",2024-03-05T10:15:26.747Z,170963372674704
"Player stacks: #1 ""onfonem @ KbH85AblgS"" (23.88) | #2 ""Yj @ UXaWQPJt1x"" (41.73)",2024-03-05T10:15:26.747Z,170963372674701
"-- starting hand #321 (id: dbmz6wesdvvw)  (No Limit Texas Hold'em) (dealer: ""onfonem @ KbH85AblgS"") --",2024-03-05T10:15:26.747Z,170963372674700
"-- ending hand #320 --",2024-03-05T10:15:23.837Z,170963372383702
"""onfonem @ KbH85AblgS"" collected 0.10 from pot",2024-03-05T10:15:23.837Z,170963372383701
"Uncalled bet of 0.05 returned to ""onfonem @ KbH85AblgS""",2024-03-05T10:15:23.837Z,170963372383700
"""Yj @ UXaWQPJt1x"" folds",2024-03-05T10:15:23.031Z,170963372303100
"""onfonem @ KbH85AblgS"" posts a big blind of 0.10",2024-03-05T10:15:21.995Z,170963372199505
"""Yj @ UXaWQPJt1x"" posts a small blind of 0.05",2024-03-05T10:15:21.995Z,170963372199504
